scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,243.7059783935547,274.7440490722656,0.9982393980026245,258.486083984375,239.48089599609375,0.9998503923416138,238.15284729003906,244.3985137939453,0.9980626702308655,257.48382568359375,212.7061767578125,0.9999809265136719,260.9524841308594,187.59927368164062,0.9999995231628418
1,243.7059783935547,275.01361083984375,0.9921433925628662,258.486083984375,239.48089599609375,0.9999983310699463,238.15284729003906,244.524658203125,0.9915721416473389,257.48382568359375,212.87109375,0.9999921321868896,261.94744873046875,190.25592041015625,0.9999994039535522
2,243.7059783935547,276.0244140625,0.9919971823692322,258.486083984375,239.48089599609375,0.9999980926513672,238.15284729003906,244.524658203125,0.991588294506073,257.48382568359375,213.60256958007812,0.9999924898147583,262.0543518066406,190.2867889404297,0.9999995231628418
3,243.5316925048828,275.01361083984375,0.9998723268508911,255.07089233398438,238.23171997070312,0.9999966621398926,228.06942749023438,244.51878356933594,0.999996542930603,257.48382568359375,213.15171813964844,0.9999959468841553,262.91278076171875,192.83880615234375,0.9999995231628418
4,243.50856018066406,274.7440490722656,0.9998692274093628,255.060546875,238.23101806640625,0.9999966621398926,228.04920959472656,244.3985137939453,0.9999964237213135,257.48382568359375,213.15171813964844,0.9999959468841553,262.91436767578125,192.84527587890625,0.9999995231628418
5,240.07266235351562,274.69964599609375,0.9989911913871765,252.513671875,237.77806091308594,0.999991774559021,225.7007598876953,242.6376495361328,0.9999973773956299,255.3028564453125,213.60256958007812,0.9999923706054688,264.48504638671875,192.96495056152344,0.9999992847442627
6,240.0628662109375,274.69964599609375,0.9989966750144958,252.51002502441406,238.23101806640625,0.999991774559021,225.697021484375,242.63755798339844,0.9999973773956299,256.0658264160156,213.60256958007812,0.9999923706054688,264.48638916015625,192.96495056152344,0.9999992847442627
7,233.2685546875,274.69964599609375,0.9815178513526917,248.31973266601562,238.23171997070312,0.9999921321868896,221.78134155273438,242.14845275878906,0.999981164932251,256.0932312011719,213.8375244140625,0.9999839067459106,265.98626708984375,195.7893524169922,0.9999985694885254
8,224.26051330566406,276.1095886230469,0.9991752505302429,246.644287109375,244.6149139404297,0.999967098236084,220.12232971191406,242.14845275878906,0.9999938011169434,256.0932312011719,214.8201141357422,0.999981164932251,265.98626708984375,197.65406799316406,0.9999974966049194
9,224.24325561523438,276.1141662597656,0.9991862177848816,246.61795043945312,244.61526489257812,0.999966025352478,220.10955810546875,242.14845275878906,0.9999939203262329,256.0932312011719,214.82191467285156,0.9999815225601196,265.98626708984375,197.66021728515625,0.9999974966049194
10,224.2190399169922,276.1141662597656,0.9984056353569031,246.61795043945312,246.78958129882812,0.9998815059661865,218.9434814453125,242.14845275878906,0.9999960660934448,257.1247253417969,217.2235565185547,0.9999871253967285,264.8058776855469,198.67276000976562,0.9999985694885254
11,224.06814575195312,276.1141662597656,0.9983437061309814,246.644287109375,246.86924743652344,0.9998816251754761,218.91079711914062,242.14845275878906,0.999996542930603,257.2747802734375,217.33056640625,0.9999861717224121,264.76776123046875,198.748779296875,0.9999985694885254
12,214.57000732421875,278.5089111328125,0.999962568283081,246.39430236816406,249.90016174316406,0.9999624490737915,218.91079711914062,244.58619689941406,0.9999912977218628,260.46051025390625,219.05821228027344,0.9999955892562866,264.4546813964844,198.79049682617188,0.9999985694885254
13,214.5642852783203,278.5089111328125,0.9999619722366333,246.39430236816406,249.94436645507812,0.9999616146087646,218.9434814453125,244.58619689941406,0.9999910593032837,260.46051025390625,219.06861877441406,0.9999957084655762,264.4500732421875,198.79049682617188,0.9999985694885254
14,210.57177734375,279.6392822265625,0.9998606443405151,246.2126922607422,257.0431823730469,0.9999617338180542,222.84637451171875,246.8376922607422,0.9972955584526062,260.46051025390625,224.83348083496094,0.9999634027481079,264.4500732421875,198.79049682617188,0.999998927116394
15,210.5101318359375,279.6727600097656,0.9998606443405151,246.201416015625,257.0431823730469,0.9999616146087646,222.9365997314453,246.8376922607422,0.9972467422485352,260.4362487792969,224.83348083496094,0.9999618530273438,264.4546813964844,198.78749084472656,0.999998927116394
16,209.6815948486328,281.1188049316406,0.9997443556785583,243.6720733642578,257.8181457519531,0.9998888969421387,222.9365997314453,247.747314453125,0.9995986819267273,258.4415588378906,225.47415161132812,0.9999388456344604,266.00299072265625,197.12442016601562,0.9999980926513672
17,210.5101318359375,281.50531005859375,0.9997584223747253,243.66561889648438,257.83941650390625,0.9998828172683716,222.84637451171875,247.747314453125,0.9996392726898193,258.36566162109375,224.83348083496094,0.9999326467514038,266.00299072265625,197.07130432128906,0.9999982118606567
18,210.57177734375,281.9730529785156,0.9999227523803711,241.295166015625,258.48590087890625,0.9999984502792358,218.7003173828125,248.4363250732422,0.9967346787452698,257.1909484863281,224.71005249023438,0.99989914894104,266.00299072265625,193.9563446044922,0.9999979734420776
