scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,210.875732421875,356.1556396484375,0.9999998807907104,170.7335205078125,366.4139404296875,0.9999988079071045,190.60845947265625,391.107177734375,0.9999979734420776,151.60650634765625,400.5751647949219,0.9999978542327881,120.77259063720703,425.140625,0.999998927116394
1,210.89413452148438,356.3103332519531,0.9999998807907104,170.7721710205078,366.42413330078125,0.9999980926513672,190.60845947265625,391.1357421875,0.9999985694885254,151.8133087158203,400.5751647949219,0.9999982118606567,120.79515838623047,425.140625,0.9999990463256836
2,211.22259521484375,356.4015197753906,0.9999998807907104,170.81674194335938,366.42413330078125,0.9999980926513672,190.60845947265625,391.1357421875,0.9999985694885254,152.1195068359375,400.5751647949219,0.9999979734420776,120.79515838623047,425.140625,0.999998927116394
3,211.22259521484375,356.6329345703125,0.9999997615814209,170.7721710205078,366.4139404296875,0.9999985694885254,190.37411499023438,391.107177734375,0.9999978542327881,151.8133087158203,400.3158874511719,0.9999978542327881,120.77259063720703,424.84051513671875,0.9999988079071045
4,211.43771362304688,356.6329345703125,0.9999998807907104,170.81674194335938,365.8127746582031,0.9999929666519165,190.37411499023438,390.9339599609375,0.9999991655349731,152.1195068359375,400.284912109375,0.9999972581863403,120.50186920166016,424.84051513671875,0.9999988079071045
5,211.49476623535156,356.6329345703125,0.9999997615814209,170.86331176757812,365.8127136230469,0.9999915361404419,190.37411499023438,390.9329833984375,0.9999991655349731,152.12057495117188,400.1720886230469,0.9999978542327881,120.50186920166016,424.84051513671875,0.999998927116394
6,211.49476623535156,356.0196533203125,0.9999997615814209,171.78053283691406,365.8127136230469,0.9999983310699463,191.23291015625,390.9329833984375,0.9999984502792358,152.12057495117188,400.2192687988281,0.9999974966049194,120.50186920166016,425.35211181640625,0.9999990463256836
7,211.45431518554688,356.0157165527344,0.9999997615814209,171.7922821044922,365.8127746582031,0.9999983310699463,191.2341766357422,390.9339599609375,0.9999984502792358,151.7363739013672,400.2123718261719,0.9999974966049194,120.50192260742188,425.35235595703125,0.9999990463256836
8,211.65933227539062,355.9055480957031,0.9999998807907104,171.7922821044922,366.0458984375,0.999997615814209,191.2471160888672,391.1252136230469,0.9999982118606567,152.42161560058594,400.2123718261719,0.9999964237213135,120.94979858398438,425.35235595703125,0.9999986886978149
9,211.63148498535156,355.9055480957031,0.9999998807907104,171.78053283691406,366.06048583984375,0.9999977350234985,191.2341766357422,391.1330871582031,0.9999982118606567,152.41123962402344,400.2123718261719,0.999996542930603,120.94979858398438,425.35211181640625,0.9999986886978149
10,211.45431518554688,356.0157165527344,0.9999998807907104,171.78053283691406,366.06048583984375,0.9999985694885254,191.2341766357422,391.1330871582031,0.9999983310699463,151.84503173828125,400.2192687988281,0.9999978542327881,120.94979858398438,424.9543151855469,0.9999986886978149
11,211.45431518554688,356.0157165527344,0.9999998807907104,171.7922821044922,366.06048583984375,0.9999986886978149,191.2471160888672,391.1252136230469,0.9999985694885254,151.84503173828125,400.2223815917969,0.9999979734420776,120.88963317871094,424.8850402832031,0.999998927116394
12,211.2383575439453,356.2996826171875,0.9999998807907104,171.68019104003906,365.4845275878906,0.999997615814209,191.2471160888672,391.5193786621094,0.9999991655349731,152.41123962402344,400.2223815917969,0.9999977350234985,120.88963317871094,424.65423583984375,0.999998927116394
13,211.2383575439453,356.2996826171875,0.9999998807907104,171.96051025390625,365.28350830078125,0.999997615814209,191.26535034179688,390.68402099609375,0.9999991655349731,152.14715576171875,400.18145751953125,0.9999977350234985,120.77632904052734,424.5422668457031,0.999998927116394
14,211.2383575439453,356.2996826171875,0.9999998807907104,171.97901916503906,365.279296875,0.9999967813491821,191.26564025878906,390.68402099609375,0.9999988079071045,152.13482666015625,400.0262145996094,0.9999973773956299,120.7750244140625,424.540771484375,0.9999983310699463
15,211.71131896972656,356.2996826171875,0.9999998807907104,171.96051025390625,365.28350830078125,0.9999980926513672,191.26535034179688,390.68402099609375,0.9999990463256836,152.13482666015625,400.0262145996094,0.9999982118606567,120.7750244140625,424.540771484375,0.9999984502792358
16,211.71478271484375,356.2996826171875,0.9999998807907104,171.68019104003906,365.4845275878906,0.9999980926513672,190.23435974121094,390.68402099609375,0.9999990463256836,152.13482666015625,400.0262145996094,0.9999982118606567,120.94074249267578,424.65423583984375,0.9999984502792358
17,211.73928833007812,356.0610046386719,0.9999998807907104,171.96051025390625,365.42657470703125,0.9999982118606567,190.23435974121094,390.68402099609375,0.9999995231628418,151.75344848632812,400.3544006347656,0.9999983310699463,120.73933410644531,424.98089599609375,0.9999984502792358
18,211.74053955078125,356.0610046386719,0.9999998807907104,171.97901916503906,365.42657470703125,0.9999982118606567,190.23377990722656,390.68524169921875,0.9999995231628418,151.66819763183594,400.35833740234375,0.9999983310699463,120.73933410644531,424.989013671875,0.9999984502792358
