scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,159.68560791015625,316.5443420410156,0.9999926090240479,136.39938354492188,343.2452087402344,0.9999997615814209,161.15438842773438,356.5255432128906,0.9999991655349731,128.9515380859375,395.1512451171875,0.9999939203262329,119.92123413085938,447.6064453125,0.9999980926513672
1,153.6873321533203,322.0388488769531,0.9999986886978149,133.8286895751953,345.1831970214844,0.9999998807907104,157.45811462402344,358.3885803222656,0.999998927116394,128.21987915039062,396.2055358886719,0.9999943971633911,120.9663314819336,447.00823974609375,0.9999979734420776
2,161.00160217285156,328.3627014160156,0.9999984502792358,133.06138610839844,345.5566711425781,0.9999997615814209,153.97457885742188,363.66925048828125,0.999995231628418,126.35599517822266,397.20037841796875,0.9999736547470093,120.37173461914062,448.6739196777344,0.9999995231628418
3,161.0022430419922,328.36334228515625,0.9999984502792358,133.06097412109375,345.5522766113281,0.9999997615814209,153.9716796875,363.6805114746094,0.999995231628418,126.34938049316406,397.196044921875,0.9999738931655884,120.36932373046875,448.6733093261719,0.9999995231628418
4,167.9571990966797,328.6908264160156,0.9999923706054688,135.92739868164062,345.8059997558594,0.9999996423721313,156.9510040283203,366.18133544921875,0.9999973773956299,125.95512390136719,394.71466064453125,0.9999881982803345,119.76908111572266,447.09210205078125,0.9999974966049194
5,168.07948303222656,328.6816101074219,0.9999922513961792,135.75621032714844,345.8782043457031,0.9999996423721313,156.86053466796875,366.0675048828125,0.9999973773956299,125.98960876464844,394.65704345703125,0.9999878406524658,119.76795959472656,447.21868896484375,0.9999973773956299
6,169.95877075195312,327.99920654296875,0.9999967813491821,139.18304443359375,345.6891174316406,0.9999983310699463,160.8508758544922,364.7125549316406,0.9999992847442627,128.1240997314453,395.6737976074219,0.9999948740005493,119.87101745605469,447.15802001953125,0.9999985694885254
7,169.95541381835938,328.0065002441406,0.9999967813491821,139.22210693359375,345.7089538574219,0.9999983310699463,160.8912353515625,364.74554443359375,0.9999992847442627,128.1468048095703,395.6941833496094,0.9999948740005493,119.86052703857422,447.15472412109375,0.9999985694885254
8,169.95541381835938,328.0065002441406,0.9999967813491821,139.22210693359375,345.7089538574219,0.9999983310699463,160.8912353515625,364.74554443359375,0.9999992847442627,128.1468048095703,395.6941833496094,0.9999948740005493,119.86052703857422,447.15472412109375,0.9999985694885254
9,170.32977294921875,326.4443054199219,0.9999985694885254,139.77142333984375,344.16827392578125,0.999998927116394,160.73446655273438,363.6684265136719,0.9999994039535522,128.16128540039062,394.7550964355469,0.999995231628418,120.07123565673828,447.11798095703125,0.9999977350234985
10,170.11001586914062,326.74822998046875,0.9999982118606567,138.87588500976562,344.21319580078125,0.9999984502792358,159.03717041015625,365.1607971191406,0.9999982118606567,126.92952728271484,394.878662109375,0.9999914169311523,120.65615844726562,446.9620361328125,0.9999979734420776
11,170.2012481689453,326.7335510253906,0.9999983310699463,138.81561279296875,344.2941589355469,0.9999984502792358,158.88397216796875,365.2283630371094,0.9999982118606567,126.90914154052734,394.9373779296875,0.9999914169311523,120.65924835205078,446.98468017578125,0.9999979734420776
12,170.7249755859375,326.62841796875,0.9999984502792358,138.36758422851562,345.0303955078125,0.9999983310699463,158.88394165039062,364.7367248535156,0.9999984502792358,126.63634490966797,395.8271484375,0.9999909400939941,119.97501373291016,447.2105407714844,0.9999984502792358
13,171.3880615234375,326.9961242675781,0.9999983310699463,138.76803588867188,343.7782287597656,0.9999983310699463,159.014892578125,364.76318359375,0.9999974966049194,126.54277801513672,394.9346618652344,0.9999856948852539,120.45579528808594,448.36444091796875,0.999998927116394
14,171.4562225341797,326.8736572265625,0.9999984502792358,138.78237915039062,343.75146484375,0.9999983310699463,159.0925750732422,364.6528625488281,0.9999974966049194,126.58824157714844,394.9150390625,0.9999862909317017,120.4712905883789,448.2331237792969,0.999998927116394
15,171.54275512695312,327.05645751953125,0.9999986886978149,139.79029846191406,344.6561279296875,0.9999982118606567,158.98207092285156,364.9877624511719,0.9999980926513672,126.86766815185547,394.73724365234375,0.9999920129776001,120.40730285644531,447.6680908203125,0.9999983310699463
16,171.54103088378906,327.04669189453125,0.9999986886978149,139.78628540039062,344.6568603515625,0.9999982118606567,158.9849090576172,364.98663330078125,0.9999980926513672,126.86416625976562,394.74273681640625,0.9999920129776001,120.41019439697266,447.6683654785156,0.9999983310699463
17,171.3340606689453,326.63165283203125,0.9999982118606567,138.50328063964844,344.4451599121094,0.9999984502792358,160.30918884277344,364.7274169921875,0.9999988079071045,127.65459442138672,395.24627685546875,0.9999951124191284,119.95862579345703,447.183349609375,0.9999986886978149
18,171.31651306152344,326.6266174316406,0.9999982118606567,138.48611450195312,344.4346008300781,0.9999984502792358,160.3164520263672,364.7176513671875,0.9999988079071045,127.66304779052734,395.2361755371094,0.9999951124191284,119.95890045166016,447.1762390136719,0.9999986886978149
