scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,491.9617614746094,180.10134887695312,0.9999994039535522,500.8233337402344,216.48178100585938,0.9999997615814209,524.8060302734375,198.9173583984375,0.9999986886978149,538.3111572265625,247.9910888671875,0.9999388456344604,552.6865844726562,294.26275634765625,0.9999955892562866
1,491.96759033203125,180.1046905517578,0.9999994039535522,500.82257080078125,216.4775390625,0.9999997615814209,524.7977294921875,198.9072723388672,0.9999986886978149,538.296875,247.99868774414062,0.999940037727356,552.6881103515625,294.2586975097656,0.9999955892562866
2,492.3755798339844,178.81285095214844,0.9999990463256836,500.5917053222656,215.37152099609375,0.9999997615814209,524.7677612304688,197.46974182128906,0.9999994039535522,537.2490234375,246.77137756347656,0.9999607801437378,552.2582397460938,294.3780212402344,0.9999958276748657
3,492.3855895996094,178.8014678955078,0.9999990463256836,500.5887451171875,215.37338256835938,0.9999997615814209,524.7719116210938,197.46583557128906,0.9999994039535522,537.29345703125,246.799560546875,0.9999607801437378,552.2845458984375,294.3711853027344,0.9999958276748657
4,491.4676818847656,179.1923828125,0.9999995231628418,500.6280517578125,216.1629180908203,0.9999996423721313,523.8087768554688,197.55947875976562,0.9999994039535522,536.621337890625,246.72787475585938,0.999947190284729,552.44970703125,293.91607666015625,0.9999935626983643
5,491.4970703125,179.3614044189453,0.9999995231628418,500.5501403808594,216.05352783203125,0.9999997615814209,523.88427734375,197.55516052246094,0.9999995231628418,536.2808227539062,246.83021545410156,0.9999381303787231,552.3992309570312,294.02716064453125,0.9999927282333374
6,491.8126220703125,179.19522094726562,0.9999992847442627,499.5682067871094,216.27578735351562,0.9999996423721313,523.7689819335938,198.054443359375,0.9999991655349731,536.6476440429688,246.6170654296875,0.9999479055404663,551.9127807617188,294.9500427246094,0.9999921321868896
7,491.8062438964844,179.33340454101562,0.9999992847442627,499.5549621582031,216.27590942382812,0.9999995231628418,523.7990112304688,198.07208251953125,0.9999991655349731,536.6481323242188,246.62303161621094,0.9999488592147827,551.9030151367188,294.9525451660156,0.9999921321868896
8,492.0162048339844,178.6958465576172,0.9999994039535522,500.43121337890625,216.7084503173828,0.9999996423721313,523.3793334960938,197.74404907226562,0.9999988079071045,537.7399291992188,246.48350524902344,0.9999487400054932,552.443115234375,293.4735107421875,0.9999948740005493
9,492.6376647949219,179.22171020507812,0.9999992847442627,500.85919189453125,216.58082580566406,0.9999996423721313,525.1618041992188,198.1600341796875,0.9999990463256836,538.4222412109375,247.83969116210938,0.9999411106109619,552.775146484375,295.0711364746094,0.9999945163726807
10,492.64111328125,179.22503662109375,0.9999992847442627,500.8404541015625,216.5868682861328,0.9999996423721313,525.176513671875,198.17633056640625,0.9999990463256836,538.4661865234375,247.8467559814453,0.9999405145645142,552.770751953125,295.06304931640625,0.9999945163726807
11,493.53857421875,179.7217254638672,0.999998927116394,501.15924072265625,216.5415496826172,0.9999994039535522,525.7438354492188,199.01412963867188,0.9999990463256836,536.4740600585938,248.94775390625,0.9998986721038818,552.064453125,294.0633239746094,0.9999933242797852
12,493.5391845703125,179.71466064453125,0.999998927116394,501.166015625,216.54881286621094,0.9999994039535522,525.7404174804688,199.01634216308594,0.9999990463256836,536.4722900390625,248.95521545410156,0.9999004602432251,552.0560302734375,294.0533142089844,0.9999934434890747
13,491.9228515625,180.09645080566406,0.9999995231628418,500.4894714355469,217.09710693359375,0.9999996423721313,524.7323608398438,198.6212921142578,0.9999988079071045,537.223876953125,247.2465057373047,0.9999557733535767,552.7786865234375,294.6488952636719,0.9999960660934448
14,491.9143981933594,180.15232849121094,0.9999995231628418,500.4567565917969,217.0943145751953,0.9999996423721313,524.689453125,198.62181091308594,0.9999988079071045,537.129150390625,247.3739776611328,0.9999477863311768,552.7064208984375,294.7116394042969,0.9999963045120239
15,492.0999755859375,179.15509033203125,0.9999994039535522,500.849609375,216.5415496826172,0.9999996423721313,523.885986328125,198.21485900878906,0.9999984502792358,537.8922729492188,246.35520935058594,0.9999675750732422,552.30908203125,294.5345764160156,0.9999938011169434
16,492.1009521484375,179.15773010253906,0.9999994039535522,500.85028076171875,216.54779052734375,0.9999996423721313,523.8734130859375,198.2149658203125,0.9999984502792358,537.83251953125,246.37680053710938,0.9999675750732422,552.2901611328125,294.522216796875,0.9999938011169434
17,492.64019775390625,179.51844787597656,0.9999992847442627,500.95361328125,216.65963745117188,0.9999997615814209,524.1636962890625,197.82899475097656,0.9999991655349731,538.3888549804688,246.59803771972656,0.999983549118042,552.3126831054688,294.70697021484375,0.9999953508377075
18,492.6556091308594,179.53599548339844,0.9999992847442627,500.9544982910156,216.6629180908203,0.9999997615814209,524.181640625,197.83042907714844,0.9999991655349731,538.3504638671875,246.64051818847656,0.9999834299087524,552.3319091796875,294.69671630859375,0.9999953508377075
19,493.7972717285156,178.7885284423828,0.9999991655349731,500.98236083984375,215.89479064941406,0.9999994039535522,524.7001342773438,197.82000732421875,0.9999995231628418,538.2671508789062,246.2715301513672,0.9999582767486572,552.5545654296875,294.65826416015625,0.9999933242797852
